ID	NQO1	HO1	GCLC	NRF2	TNFalpha	IL10	IFNg	IL4	IL17	JAM-A	Occludin	ZO1	Cingulin	Organ	Condition	Match
CT_JEJ_1	7.641353	0.7889622	4.180363	14.37139	2.570107	4.982356	6.259308	1.587771	5.704609	7.162325	7.848017	6.860569	6.195961	Jejunum	Control	CT_JEJ
CT_JEJ_2	3.240751	2.214572	2.818892	9.670753	7.11729	4.063797	2.883864	3.882546	0.7035028	4.788016	5.10117	6.975652	5.660102	Jejunum	Control	CT_JEJ
CT_JEJ_3	3.65489	1.541706	3.466856	15.29648	1.219532	1.30661	2.319	0.01757908	1.483113	7.944344	8.735124	7.924545	8.054685	Jejunum	Control	CT_JEJ
CT_JEJ_4	3.890156	2.660188	3.302659	9.432421	8.138867	6.180948	2.662909	4.475358	6.593882	5.181709	4.355469	4.123382	4.589472	Jejunum	Control	CT_JEJ
CT_JEJ_5	4.286583	1.520481	4.894387	20.85221	0.6042963	3.082985	22.30821	0.07853628	0.1034588	11.84272	13.94647	9.906175	8.890891	Jejunum	Control	CT_JEJ
CT_JEJ_6	3.424345	0.5787564	5.52942	13.86262	0.1331227	0.1843895	4.679982	0.06747529	0.08888773	6.187807	6.884387	7.161829	6.587943	Jejunum	Control	CT_JEJ
CT_JEJ_7	3.604572	0.8052608	4.614352	13.82903	0.9433258	1.604727	3.538169	2.013218	4.092913	6.452813	6.459077	4.408623	4.283613	Jejunum	Control	CT_JEJ
CT_JEJ_8	3.185077	2.195467	6.885818	10.41166	0.8921314	6.390054	5.938107	0.04509162	2.921336	6.659566	6.074763	5.129535	4.807637	Jejunum	Control	CT_JEJ
CT_JEJ_9	3.413681	4.058729	4.373014	4.673904	9.096604	5.279232	25.88426	0.01558717	55.35448	5.31632	4.364535	4.966839	3.773303	Jejunum	Control	CT_JEJ
CT_JEJ_10	5.117106	1.98416	5.040714	20.47268	2.109393	1.639014	1.544889	0.007715648	2.774308	7.703041	7.820865	5.699471	7.060782	Jejunum	Control	CT_JEJ
CT_JEJ_11	3.806139	0.4900593	1.365688	9.870534	1.038375	1.955216	1.766634	0.9763722	2.018982	3.385639	3.357362	2.061691	3.921289	Jejunum	Control	CT_JEJ
CT_JEJ_12	6.121258	2.294259	6.229551	29.47925	1.027991	1.058358	3.282974	0.01211135	1.558468	11.9127	9.515821	5.865801	12.34049	Jejunum	Control	CT_JEJ
ST_JEJ_1	4.007849	2.63176	4.55398	10.06049	2.587086	2.297919	2.030736	0.8391514	1.284875	8.267368	8.534627	11.73974	18.54975	Jejunum	WAS	WAS_JEJ
ST_JEJ_2	4.799314	2.687059	4.36393	8.337577	2.9329	2.661663	1.174057	1.483498	1.83163	9.122493	9.505932	10.71328	17.09886	Jejunum	WAS	WAS_JEJ
ST_JEJ_3	4.857884	2.329513	4.561879	12.04304	1.341947	3.19392	5.015881	0.008792585	0.2977406	7.027093	9.090302	7.98243	11.36738	Jejunum	WAS	WAS_JEJ
ST_JEJ_4	2.197447	9.138947	3.820147	2.818892	14.65507	12.93159	2.119175	5.322128	1.459656	4.248425	3.341111	2.994527	4.810971	Jejunum	WAS	WAS_JEJ
ST_JEJ_5	3.457737	5.606219	2.822802	7.364707	7.796508	5.36965	5.613899	3.165653	7.527277	7.053934	6.777852	3.403049	6.556056	Jejunum	WAS	WAS_JEJ
ST_JEJ_6	5.572513	2.180302	5.718466	14.23261	1.636176	3.18287	1.681214	0.01185799	0.648028	12.47898	12.64792	8.324295	15.96486	Jejunum	WAS	WAS_JEJ
ST_JEJ_7	5.271919	2.908002	4.931847	16.49696	1.114833	4.800977	2.205343	0.02283678	3.497025	12.85206	12.47812	11.59016	23.72487	Jejunum	WAS	WAS_JEJ
ST_JEJ_8	2.595168	3.905556	3.87616	8.914341	8.0296	6.492743	3.789488	3.825115	3.993429	7.174747	6.696133	7.599098	8.158637	Jejunum	WAS	WAS_JEJ
ST_JEJ_9	3.6372	5.637393	6.275055	12.00138	8.390915	12.09491	0.8993803	1.714162	3.087904	9.275519	10.65034	7.486691	13.53223	Jejunum	WAS	WAS_JEJ
ST_JEJ_10	5.099402	3.447446	5.236592	12.09323	5.537858	4.363023	1.15629	1.62282	1.073728	8.597565	7.880723	5.221007	4.457788	Jejunum	WAS	WAS_JEJ
ST_JEJ_11	4.240776	0.8793614	4.35034	10.99007	0.650368	0.2546042	1.218835	0.007151706	1.681359	6.287245	8.64777	6.159564	6.686856	Jejunum	WAS	WAS_JEJ
ST_JEJ_12	3.896903	1.113057	3.6977	8.413045	0.8297957	2.201258	0.02982163	2.120645	1.469808	4.298782	3.563582	3.201678	4.240776	Jejunum	WAS	WAS_JEJ
CT_IL_1	6.37678	2.535074	2.829659	5.604665	7.154387	9.036901	6.267991	0.7381588	14.99207	5.654612	4.622996	13.19874	4.664842	Ileum	Control	CT_IL
CT_IL_2	4.243716	3.523546	2.34344	4.235781	7.93004	6.064245	11.56748	0.6858681	9.690883	4.819649	3.929452	12.72266	4.002296	Ileum	Control	CT_IL
CT_IL_3	2.058121	5.285457	3.101848	2.723814	16.78765	4.987539	17.40588	10.27811	34.91144	3.667833	3.585882	5.106476	3.130359	Ileum	Control	CT_IL
CT_IL_4	2.195163	5.248947	3.076155	3.008675	13.51349	7.494479	11.80236	5.907317	42.74335	3.345978	2.148498	3.23514	1.693289	Ileum	Control	CT_IL
CT_IL_5	2.82907	4.794991	4.486617	8.056359	25.64007	4.457788	13.54326	5.813887	22.0488	7.417475	5.634658	8.478612	5.088809	Ileum	Control	CT_IL
CT_IL_6	4.37059	6.413127	2.920323	6.244682	13.24915	12.48244	25.93814	4.647655	47.82285	4.650636	4.682659	4.249603	2.913651	Ileum	Control	CT_IL
CT_IL_7	4.49658	3.962822	4.174572	5.996531	12.9675	11.39499	28.88008	2.009732	32.35974	8.505689	6.401136	8.136047	5.011797	Ileum	Control	CT_IL
CT_IL_8	6.522062	8.139997	6.154442	9.007508	12.7934	10.36989	14.6721	1.391849	25.50358	9.189129	6.465796	15.26153	5.980757	Ileum	Control	CT_IL
CT_IL_9	3.973274	2.041356	3.845385	24.08609	3.007007	3.592101	10.33526	0.06794462	6.507611	7.469067	5.530186	4.618192	5.900463	Ileum	Control	CT_IL
CT_IL_10	3.073384	3.618842	2.055698	3.310681	10.75047	5.725208	20.93004	1.160304	40.45169	3.618591	2.716649	4.802641	2.665356	Ileum	Control	CT_IL
CT_IL_11	1.852955	4.328983	2.306377	2.676093	13.35519	7.869806	11.74523	4.188702	24.789	3.626124	2.888515	4.173704	2.766052	Ileum	Control	CT_IL
CT_IL_12	2.682965	3.457018	2.117157	3.196799	9.049438	13.77355	30.16917	1.343506	56.1272	4.102286	2.92478	3.091545	3.165269	Ileum	Control	CT_IL
ST_IL_1	5.739114	8.199455	4.017027	2.327253	13.60277	11.40685	8.239193	1.892119	15.44029	5.67621	7.07548	12.87792	14.9371	Ileum	WAS	WAS_IL
ST_IL_2	4.75791	6.484647	3.515252	3.046448	6.908288	5.681721	8.426907	2.216838	14.03666	6.200687	6.168108	8.698871	8.884731	Ileum	WAS	WAS_IL
ST_IL_3	3.149948	5.909467	2.280939	2.769505	8.181289	7.437553	9.259942	0.7335683	16.12389	3.962547	3.762856	5.111788	2.993489	Ileum	WAS	WAS_IL
